,t,u,lambda,u_begin
64,-297.65625,(1.1102230246251565e-16+4.440892098500626e-16j),1666.737574609955,(0.08517861589268+0.01005545326510271j)
65,-297.61962890625,(-1.1102230246251565e-16+2.220446049250313e-16j),1666.7221306568274,(0.04363141343294467+0.023819609529821484j)
66,-297.5830078125,(2.220446049250313e-16+4.440892098500626e-16j),1666.7066869899038,(0.0468826541981785+0.02160949626397255j)
67,-297.54638671875,(1.1102230246251565e-16+2.220446049250313e-16j),1666.6912436091764,(0.019753056697331628+0.0340634280943964j)
68,-297.509765625,0j,1666.6758005146369,(0.02022872945420471+0.07103870732069203j)
69,-297.47314453125,4.440892098500626e-16j,1666.6603577062776,(0.07778132014311655+0.04199312946553956j)
70,-297.4365234375,(1.1102230246251565e-16+4.440892098500626e-16j),1666.6449151840907,(0.09409644617816186+0.05708752311695259j)
71,-297.39990234375,3.3306690738754696e-16j,1666.6294729480678,(0.02660873895181766+0.0736504427118902j)
72,-297.36328125,(2.220446049250313e-16+4.440892098500626e-16j),1666.6140309982013,(0.008745556056800986+0.0993917334941668j)
73,-297.32666015625,3.3306690738754696e-16j,1666.598589334483,(0.02375617202717567+0.04565306889777004j)
74,-297.2900390625,(2.220446049250313e-16+2.220446049250313e-16j),1666.5831479569051,(0.0768533080931717+0.029998967113587783j)
75,-297.25341796875,(1.1102230246251565e-16+4.440892098500626e-16j),1666.5677068654595,(0.0008472053680496417+0.003855335651316405j)
76,-297.216796875,4.440892098500626e-16j,1666.5522660601387,(0.08390444645201411+0.0670323349101026j)
77,-297.18017578125,(5.551115123125783e-17+3.3306690738754696e-16j),1666.536825540934,(0.021271275425439606+0.013929313616449135j)
78,-297.1435546875,(5.551115123125783e-17+3.3306690738754696e-16j),1666.521385307838,(0.0874070434455774+0.07677870122498716j)
79,-297.10693359375,(5.551115123125783e-17+4.440892098500626e-16j),1666.5059453608426,(0.02617154132719808+0.00732759267373384j)
80,-297.0703125,4.440892098500626e-16j,1666.4905056999398,(0.03687295150225326+0.08215557430788845j)
81,-297.03369140625,5.551115123125783e-16j,1666.4750663251218,(0.04032473201395257+0.057490976692479295j)
82,-296.9970703125,5.551115123125783e-16j,1666.4596272363806,(0.042254318613145936+0.027249294409593096j)
83,-296.96044921875,(5.551115123125783e-17+5.551115123125783e-16j),1666.444188433708,(0.06548197227079315+0.09889676493622306j)
84,-296.923828125,4.440892098500626e-16j,1666.428749917096,(0.09590950079933153+0.04189505010253583j)
85,-296.88720703125,(5.551115123125783e-17+5.551115123125783e-16j),1666.4133116865373,(0.016840206715331586+0.07468694409778624j)
86,-296.8505859375,(1.1102230246251565e-16+6.661338147750939e-16j),1666.3978737420234,(0.056709689520554635+0.01860795700172201j)
87,-296.81396484375,4.996003610813204e-16j,1666.3824360835465,(0.06206023165364316+0.06612733749019062j)
88,-296.77734375,(1.6653345369377348e-16+4.996003610813204e-16j),1666.3669987110986,(0.014967768481928812+0.052833099800388784j)
89,-296.74072265625,(-1.1102230246251565e-16+4.440892098500626e-16j),1666.3515616246718,(0.0978551355291605+0.011906456362035689j)
90,-296.7041015625,(2.220446049250313e-16+3.3306690738754696e-16j),1666.3361248242584,(0.03492962728372737+0.09697969665417168j)
91,-296.66748046875,(5.551115123125783e-17+3.885780586188048e-16j),1666.3206883098499,(0.08835517569164004+0.0786976829378259j)
92,-296.630859375,(-5.551115123125783e-17+4.440892098500626e-16j),1666.3052520814388,(0.07710614703476382+0.027057516607122124j)
93,-296.59423828125,(1.6653345369377348e-16+4.996003610813204e-16j),1666.289816139017,(0.024424884841871143+0.02263121160153142j)
94,-296.5576171875,4.163336342344337e-16j,1666.2743804825764,(0.05424465696289049+0.018158780670799846j)
95,-296.52099609375,(1.3877787807814457e-16+4.440892098500626e-16j),1666.2589451121091,(0.057677562266210694+0.09171608553950518j)
96,-296.484375,(5.551115123125783e-17+4.163336342344337e-16j),1666.2435100276075,(0.0033691668796855703+0.02598261988059383j)
97,-296.44775390625,(1.1102230246251565e-16+4.996003610813204e-16j),1666.2280752290633,(0.0950372853298759+0.02310183298345483j)
98,-296.4111328125,(2.7755575615628914e-17+4.440892098500626e-16j),1666.2126407164687,(0.05275892110382585+0.01966052212372197j)
99,-296.37451171875,(1.3877787807814457e-16+4.996003610813204e-16j),1666.1972064898157,(0.08103691407124992+0.046457159917645555j)
100,-296.337890625,(1.3877787807814457e-16+4.163336342344337e-16j),1666.1817725490964,(0.06263197030249529+0.08170908928108131j)
101,-296.30126953125,(8.326672684688674e-17+5.551115123125783e-16j),1666.1663388943025,(0.0814168421333956+0.04168652085704286j)
102,-296.2646484375,(2.220446049250313e-16+4.718447854656915e-16j),1666.1509055254267,(0.0644414593968847+0.045112488226916304j)
103,-296.22802734375,(1.6653345369377348e-16+5.273559366969494e-16j),1666.1354724424607,(0.0922316755101052+0.038539766030321845j)
104,-296.19140625,(2.220446049250313e-16+4.3021142204224816e-16j),1666.1200396453967,(0.04804360857251119+0.013212872338567473j)
105,-296.15478515625,(5.551115123125783e-17+5.828670879282072e-16j),1666.1046071342264,(0.022459800475798354+0.09217325691802652j)
106,-296.1181640625,(1.5265566588595902e-16+5.412337245047638e-16j),1666.0891749089424,(0.058387254844928196+0.013269103244710357j)
107,-296.08154296875,(1.249000902703301e-16+5.551115123125783e-16j),1666.0737429695362,(0.021965852513738827+0.07317445578829183j)
108,-296.044921875,(2.7755575615628914e-17+6.522560269672795e-16j),1666.0583113160003,(0.07934467172343862+0.06877177262246145j)
109,-296.00830078125,(1.5265566588595902e-16+5.412337245047638e-16j),1666.0428799483263,(0.04735723749895324+0.0861120756732584j)
110,-295.9716796875,(5.551115123125783e-17+4.440892098500626e-16j),1666.0274488665068,(0.00018291501170736302+0.08580645418075689j)
111,-295.93505859375,(1.942890293094024e-16+4.85722573273506e-16j),1666.0120180705335,(0.002830036575164197+0.07543991518668668j)
112,-295.8984375,(8.326672684688674e-17+4.163336342344337e-16j),1665.9965875603984,(0.050372140834252614+0.01798879344831461j)
113,-295.86181640625,(1.249000902703301e-16+4.649058915617843e-16j),1665.981157336094,(0.056917782547087015+0.020512974941681562j)
114,-295.8251953125,(1.3877787807814457e-17+4.787836793695988e-16j),1665.9657273976118,(0.01021977662745055+0.06174880766589755j)
115,-295.78857421875,(1.734723475976807e-16+5.898059818321144e-16j),1665.950297744944,(0.025753252424180396+0.047387139012646996j)
116,-295.751953125,(6.938893903907228e-17+5.273559366969494e-16j),1665.9348683780831,(0.06561100209638498+0.01623820425092143j)
117,-295.71533203125,(4.85722573273506e-17+4.85722573273506e-16j),1665.9194392970205,(0.018525269936606737+0.05889395539629904j)
118,-295.6787109375,(1.249000902703301e-16+5.273559366969494e-16j),1665.9040105017489,(0.041295146173461306+0.008292095593945337j)
119,-295.64208984375,(8.326672684688674e-17+5.273559366969494e-16j),1665.8885819922598,(0.07206597098691739+0.09948761550939839j)
120,-295.60546875,(1.942890293094024e-16+3.434752482434078e-16j),1665.8731537685458,(0.018546432108583144+0.002902902706566013j)
121,-295.56884765625,(-3.469446951953614e-17+3.3306690738754696e-16j),1665.8577258305982,(0.08669621242731476+0.059737590128021524j)
122,-295.5322265625,(2.0122792321330962e-16+3.469446951953614e-16j),1665.8422981784097,(0.02685883171415454+0.055811707292104745j)
123,-295.49560546875,(1.3183898417423734e-16+3.469446951953614e-16j),1665.8268708119724,(0.07806835975728588+0.022908565475465895j)
