,t,u,lambda,u_begin
71,-297.39990234375,(-2.0816681711721685e-17-2.5630539357557325e-16j),1666.6294729480678,(0.043634794248844526+0.009759344129477522j)
72,-297.36328125,(-3.122502256758253e-17-2.480654570646834e-16j),1666.6140309982013,(0.005091098287827056+0.03565657703211333j)
73,-297.32666015625,(-4.163336342344337e-17-2.1684043449710089e-16j),1666.598589334483,(0.08113324738138883+0.05675967074530062j)
74,-297.2900390625,(-2.0816681711721685e-17-2.0036056147532122e-16j),1666.5831479569051,(0.06475787814049593+0.0716995140900638j)
75,-297.25341796875,(-1.6479873021779667e-17-2.0816681711721685e-16j),1666.5677068654595,(0.02540683598883732+0.05209096180703892j)
76,-297.216796875,(3.5561831257524545e-17-1.8995222061946038e-16j),1666.5522660601387,(0.016168430124490242+0.06810010534651773j)
77,-297.18017578125,(-2.0816681711721685e-17-1.951563910473908e-16j),1666.536825540934,(0.0035292836499688065+0.033779749761761325j)
78,-297.1435546875,(2.4069288229178198e-17-1.8908485888147197e-16j),1666.521385307838,(0.04828151097484004+0.06524896127647303j)
79,-297.10693359375,(-2.5207700510287978e-17-1.8041124150158794e-16j),1666.5059453608426,(0.06234374801739957+0.030650517547553182j)
80,-297.0703125,(-3.404394821604484e-17-1.7607443281164592e-16j),1666.4905056999398,(0.08612626406979595+0.08189687976752937j)
81,-297.03369140625,(-6.158268339717665e-17-2.185751579730777e-16j),1666.4750663251218,(0.0313313008198035+0.038877069035708235j)
82,-296.9970703125,(-2.3418766925686896e-17-1.227316859253591e-16j),1666.4596272363806,(0.015753436131155298+0.04167602772062434j)
83,-296.96044921875,(-9.280770596475918e-17-1.6631661325927638e-16j),1666.444188433708,(0.08386409023368188+0.07770831972566261j)
84,-296.923828125,(-3.903127820947816e-18-1.1644331332494318e-16j),1666.428749917096,(0.06189454097857813+0.04513802998054355j)
85,-296.88720703125,(1.0842021724855044e-17-1.5289961137476826e-16j),1666.4133116865373,(0.043523290376417806+0.010448417960914037j)
86,-296.8505859375,(2.667137344314341e-17-8.613986260397333e-17j),1666.3978737420234,(0.027665215514511166+0.03253583242625002j)
87,-296.81396484375,(-2.970713952610282e-17-6.73831650199741e-17j),1666.3824360835465,(0.011288834219053169+0.03469901500122934j)
88,-296.77734375,(-3.5778671692021646e-17-4.7271214720367993e-17j),1666.3669987110986,(0.059535584348584906+0.06379747194020473j)
89,-296.74072265625,(-1.0842021724855044e-19-1.0158974356189177e-16j),1666.3515616246718,(0.008087662212264068+0.0743713896143834j)
90,-296.7041015625,(4.9520934228275415e-17-4.195862407518902e-17j),1666.3361248242584,(0.01746837286059181+0.05013877086140757j)
91,-296.66748046875,(-2.74574200181954e-17-6.1257422745431e-17j),1666.3206883098499,(0.07508647308884232+0.043042854217177344j)
